,latitude,longitude,mean,se,row,col,lat,lon,pi,anom
0,44.8,-107.1,43.15,5.6,134.0,72.0,44.5,-107.5,5.936126708984375,37.213873291015624
1,29.4,-103.2,27.4453,4.5107,119.0,76.0,29.5,-103.5,17.802215576171875,9.643084423828125
2,42.2,-108.5,27.125,3.25,132.0,71.0,42.5,-108.5,5.373687744140625,21.751312255859375
3,75.5,136.0,18.5,4.3,165.0,316.0,75.5,136.5,-16.7034912109375,35.2034912109375
4,78.8,-82.0,4.0,5.5,168.0,97.0,78.5,-82.5,-21.237228393554688,25.237228393554688
5,54.8,-127.0,8.3,3.6,144.0,52.0,54.5,-127.5,0.933074951171875,7.366925048828126
6,75.49,-6.95,14.7,4.1,165.0,173.0,75.5,-6.5,-8.169830322265625,22.869830322265624
7,51.0,-121.0,12.8,3.6,141.0,58.0,51.5,-121.5,1.824554443359375,10.975445556640626
8,50.5,-119.6,8.9,3.6,140.0,60.0,50.5,-119.5,2.335784912109375,6.564215087890625
9,50.13,-120.51,19.0,3.6,140.0,59.0,50.5,-120.5,2.61956787109375,16.38043212890625
10,49.52,-121.64,7.3,2.0,139.0,58.0,49.5,-121.5,4.447113037109375,2.852886962890625
11,49.5,-120.5,7.3,2.0,139.0,59.0,49.5,-120.5,3.917266845703125,3.382733154296875
12,49.5,-120.5,5.0,3.6,139.0,59.0,49.5,-120.5,3.917266845703125,1.082733154296875
13,48.7,-122.5,15.6,2.1,138.0,57.0,48.5,-122.5,6.43597412109375,9.16402587890625
14,48.7,-122.5,19.13,2.87,138.0,57.0,48.5,-122.5,6.43597412109375,12.694025878906249
15,48.7,-122.5,17.6,2.29,138.0,57.0,48.5,-122.5,6.43597412109375,11.164025878906251
16,48.7,-122.5,23.57,3.41,138.0,57.0,48.5,-122.5,6.43597412109375,17.13402587890625
17,48.7,-122.5,16.59,2.05,138.0,57.0,48.5,-122.5,6.43597412109375,10.15402587890625
18,48.6,-118.7,9.4,2.0,138.0,61.0,48.5,-118.5,4.521087646484375,4.878912353515625
19,48.6,-118.7,9.0,4.0,138.0,61.0,48.5,-118.5,4.521087646484375,4.478912353515625
20,48.6,-118.7,8.9,3.3,138.0,61.0,48.5,-118.5,4.521087646484375,4.378912353515625
21,48.6,-118.7,11.3,3.6,138.0,61.0,48.5,-118.5,4.521087646484375,6.778912353515626
22,48.6,-118.7,9.2,4.8,138.0,61.0,48.5,-118.5,4.521087646484375,4.678912353515624
23,48.47,-118.52,8.8,2.0,138.0,61.0,48.5,-118.5,4.521087646484375,4.278912353515626
24,48.47,-118.52,11.0,2.0,138.0,61.0,48.5,-118.5,4.521087646484375,6.478912353515625
25,47.49,-121.8,16.2,2.0,137.0,58.0,47.5,-121.5,7.373870849609375,8.826129150390624
26,47.49,-121.8,16.8,2.0,137.0,58.0,47.5,-121.5,7.373870849609375,9.426129150390626
27,44.5,-107.0,18.7,5.5,134.0,72.0,44.5,-107.5,5.936126708984375,12.763873291015624
28,44.77,-107.13,43.2,5.6,134.0,72.0,44.5,-107.5,5.936126708984375,37.26387329101563
29,43.96,-107.65,21.7,9.1,133.0,72.0,43.5,-107.5,5.912017822265625,15.787982177734374
30,43.96,-107.65,18.3,5.5,133.0,72.0,43.5,-107.5,5.912017822265625,12.387982177734376
31,43.0,-108.5,8.9,4.0,133.0,71.0,43.5,-108.5,5.328033447265625,3.5719665527343754
32,39.65,-121.56,22.6,,129.0,58.0,39.5,-121.5,11.774017333984375,10.825982666015626
33,39.64,-121.54,17.1,,129.0,58.0,39.5,-121.5,11.774017333984375,5.325982666015626
34,39.72,-120.9,14.9,,129.0,59.0,39.5,-120.5,11.11517333984375,3.7848266601562504
35,39.66,-120.95,7.8,,129.0,59.0,39.5,-120.5,11.11517333984375,-3.31517333984375
36,39.59,-120.99,14.8,,129.0,59.0,39.5,-120.5,11.11517333984375,3.6848266601562507
37,39.42,-120.86,13.5,,129.0,59.0,39.5,-120.5,11.11517333984375,2.38482666015625
38,39.37,-120.92,17.3,,129.0,59.0,39.5,-120.5,11.11517333984375,6.184826660156251
39,39.27,-120.91,15.1,,129.0,59.0,39.5,-120.5,11.11517333984375,3.9848266601562496
40,39.21,-120.88,15.1,,129.0,59.0,39.5,-120.5,11.11517333984375,3.9848266601562496
41,42.24,-108.53,27.1,3.3,132.0,71.0,42.5,-108.5,5.373687744140625,21.726312255859376
