,latitude,longitude,mean,lse,hse,row,col,lat,lon,pi,anom
0,-65.33,1.28,12.8670607,5.9024450569999996,4.163886470000001,24.0,181.0,-65.5,1.5,-5.166229248046875,18.033289948046875
1,-63.31,136.0,33.37,7.009999999999998,6.830000000000005,26.0,316.0,-63.5,136.5,-6.458038330078125,39.82803833007812
2,-62.72,82.79,12.28814526,1.80771236,1.7284108400000004,27.0,262.0,-62.5,82.5,-4.710113525390625,16.998258785390625
3,-52.22,166.19,30.07,4.510000000000002,4.100000000000001,37.0,346.0,-52.5,166.5,7.978546142578125,22.091453857421875
4,-52.22,166.19,16.70037247,2.1597335300000022,1.34824914,37.0,346.0,-52.5,166.5,7.978546142578125,8.721826327421876
5,-45.32,170.83,18.77466342,0.7029599399999995,0.7684849699999994,44.0,350.0,-45.5,170.5,10.98583984375,7.7888235762499995
6,-45.32,170.83,27.84,4.050000000000001,3.6400000000000006,44.0,350.0,-45.5,170.5,10.98583984375,16.85416015625
7,-45.32,170.83,34.46,7.109999999999999,8.96,44.0,350.0,-45.5,170.5,10.98583984375,23.47416015625
8,-43.58,149.56,32.76,6.859999999999999,8.469999999999999,46.0,329.0,-43.5,149.5,13.27911376953125,19.480886230468748
9,-43.06,172.61,27.1,4.040000000000003,3.5299999999999976,46.0,352.0,-43.5,172.5,12.013580322265625,15.086419677734376
10,-43.06,172.61,28.36048447,4.8471518200000006,5.1202771400000024,46.0,352.0,-43.5,172.5,12.013580322265625,16.346904147734374
11,-43.06,172.61,34.46,6.199999999999999,9.009999999999998,46.0,352.0,-43.5,172.5,12.013580322265625,22.446419677734376
12,-41.519,175.481,28.37,4.199999999999999,3.650000000000002,48.0,355.0,-41.5,175.5,14.182769775390625,14.187230224609376
13,-40.38,176.378,26.39,3.7300000000000004,3.599999999999998,49.0,356.0,-40.5,176.5,14.753021240234375,11.636978759765626
14,-8.85,39.63,29.62754173,1.3538431600000003,1.3343475399999996,81.0,219.0,-8.5,39.5,24.429351806640625,5.198189923359376
15,-8.85,39.63,33.04,7.029999999999998,6.75,81.0,219.0,-8.5,39.5,24.429351806640625,8.610648193359374
16,3.63,-2.74,37.49,7.540000000000003,8.049999999999997,93.0,177.0,3.5,-2.5,26.621185302734375,10.868814697265627
17,5.97,-43.73,37.46,,,95.0,136.0,5.5,-43.5,25.850677490234375,11.609322509765626
18,18.55,-179.65,25.90768435,2.9471658100000013,2.063090989999999,108.0,0.0,18.5,-179.5,25.11810302734375,0.7895813226562503
19,23.53,68.62,35.1,2.5,2.6000000000000014,113.0,248.0,23.5,68.5,25.628021240234375,9.471978759765626
20,31.45,-88.05,30.57,6.830000000000002,7.780000000000001,121.0,91.0,31.5,-88.5,19.066741943359375,11.503258056640625
21,31.5,-92.1,27.1,2.3000000000000007,2.3999999999999986,121.0,87.0,31.5,-92.5,19.731414794921875,7.368585205078126
22,32.26,157.43,17.81184549,1.8297474299999994,1.5418885300000014,122.0,337.0,32.5,157.5,19.906280517578125,-2.0944350275781254
23,36.59,-120.64,19.05786728,1.5961160800000016,1.177736920000001,126.0,59.0,36.5,-120.5,15.776092529296875,3.281774750703125
24,38.7,-76.1,33.79,7.099999999999998,8.64,128.0,103.0,38.5,-76.5,14.332061767578125,19.457938232421874
25,39.66,-75.04,23.56543857,,,129.0,104.0,39.5,-75.5,13.562103271484375,10.003335298515626
26,39.66,-75.04,31.81,6.75,6.73,129.0,104.0,39.5,-75.5,13.562103271484375,18.247896728515624
27,47.43,-8.81,16.96752755,1.2791521499999998,1.5468810600000005,137.0,171.0,47.5,-8.5,13.217529296875,3.749998253125
28,49.4,3.5,18.5,2.6999999999999993,2.8000000000000007,139.0,183.0,49.5,3.5,10.490753173828125,8.009246826171875
29,50.76,4.12,20.0,2.3999999999999986,2.5,140.0,184.0,50.5,4.5,10.107269287109375,9.892730712890625
30,51.013,3.23,29.8,2.5,2.599999999999998,141.0,183.0,51.5,3.5,10.209442138671875,19.590557861328126
31,53.5,73.52,23.82,6.16,7.050000000000001,143.0,253.0,53.5,73.5,2.434661865234375,21.385338134765625
