# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Variables are given as:,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# lat - grid cell centre latitude,,,,,,,,,,,,,
# lon - grid cell centre longitude,,,,,,,,,,,,,
# MI - moisture index,,,,,,,,,,,,,
# MAP - mean annual precipitation (mm),,,,,,,,,,,,,
# MAT - mean annual temperature (degrees C),,,,,,,,,,,,,
# MTCO - mean temperature of the coldest month (degrees C),,,,,,,,,,,,,
# MTWA - mean temperature of the warmest month (degrees C),,,,,,,,,,,,,
# GDD5 - growing degree days above 5 degrees C (days degrees C),,,,,,,,,,,,,
# MI SD - moisture index standard deviation,,,,,,,,,,,,,
# MAP SD - mean annual precipitation standard deviation (mm),,,,,,,,,,,,,
# MAT SD - mean annual temperature standard deviation (degrees C),,,,,,,,,,,,,
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C),,,,,,,,,,,,,
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C),,,,,,,,,,,,,
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# NaN values represent situations where a reconstruction isn't given.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
 lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT_SD, MTCO SD, MTWA SD, GDD5 SD
67,-179,-0.157671,-107.756,-8.365533,-9.2579,-6.18079,0,0.413432,63.348,1.81988,1.86704,2.71519,0
71,-179,  nan,-68.018,-8.286363,-11.1665,-0.13323,0,  nan,65.1614,2.17468,1.67796,3.84987,0
67,-177,-0.108041,-97.395,-9.008762,-10.2858,-5.549923,-9.3,0.350733,60.4307,1.89739,1.96763,2.68234,0
65,-175,-0.107582,-95.761,-8.873616,-10.2284,-4.34239,-52.7,0.342306,70.8434,1.70667,1.7274,2.29102,0
65,-173,-0.172688,-102.447,-8.879874,-10.3635,-3.76663,-252.4654,0.217121,66.2138,1.67607,1.77134,2.06936,64.1499
61,-165,  nan,-126.239,-6.753733,-8.9987,-2.4247,-340.224,  nan,75.7213,1.54826,2.40387,1.55237,143.627
65,-165,-0.307004,-110.438,-6.719114,-6.8044,-4.16702,-285.5627,0.119715,51.131,1.09506,1.22158,1.11527,68.4289
61,-163,  nan,-160.484,-6.049534,-6.661,-4.25021,-493.455,  nan,69.6533,1.51876,2.35754,1.56125,145.469
63,-163,-0.331636,-126.495,-6.044482,-6.1591,-4.60896,-383.7741,0.133605,65.5054,1.25624,1.84974,1.42328,85.615
65,-163,-0.399359,-123.136,-5.900993,-5.3813,-5.18917,-397.723,0.089829,47.2668,0.955492,1.06822,0.999077,62.3676
61,-161,  nan,-171.52,-5.700071,-5.6053,-6.04537,-531.6066,  nan,73.6426,1.52078,2.30572,1.71894,53.2871
63,-161,-0.340141,-130.822,-5.377035,-5.1526,-5.79103,-548.226,0.136844,64.238,1.20222,1.73791,1.41026,85.2993
65,-161,-0.41624,-120.102,-5.11767,-4.2118,-5.81669,-388.9951,0.091946,44.1576,0.869766,0.9815,0.947961,59.6921
67,-161,-0.248979,-70.084,-4.858652,-3.5389,-5.78105,-358.2,0.061073,28.0357,0.49215,0.644112,0.865252,0
61,-159,  nan,-183.976,-5.559772,-4.3779,-7.25299,-689.9891,  nan,71.3286,1.50619,2.26003,1.81437,109.604
63,-159,  nan,-132.685,-4.858613,-3.4663,-6.42932,-649.617,  nan,63.8575,1.18727,1.36136,1.46382,88.6572
65,-159,-0.421317,-116.492,-4.304814,-2.7438,-5.82449,-445.5901,0.09127,41.7729,0.83971,1.05803,0.954837,60.3632
67,-159,-0.301459,-71.687,-4.00169,-2.3864,-5.93347,-397.93387,0.054462,26.4677,0.46166,0.606763,0.41607,34.2772
61,-157,  nan,-175.13,-5.507456,-3.5208,-8.6381,-741.7,  nan,72.3408,1.48816,1.8741,1.93859,0
63,-157,  nan,-124.677,-4.316129,-2.4431,-6.97018,-663.556,  nan,65.0733,1.18167,1.34721,1.56086,137.312
65,-157,  nan,-103.488,-3.376921,-1.6555,-5.40956,-467.086,  nan,42.3683,0.842406,1.03386,1.01128,63.4592
69,-157,  nan,-14.744,-2.556127,-1.9313,-2.5057,-105.57656,  nan,33.5416,0.648048,0.742274,0.806973,25.0161
71,-157,  nan,20.323,-3.701766,-4.8034,2.13484,66.18,  nan,41.0092,1.09268,1.19832,1.45376,45.0668
63,-155,  nan,-122.769,-4.036133,-1.3813,-7.9629,-729.8052,  nan,64.1051,1.15019,1.33491,1.61544,138.754
65,-155,  nan,-81.902,-2.382686,-0.496,-4.78215,-407.062,  nan,42.9078,0.838539,0.985996,1.07231,97.4367
69,-155,  nan,95.208,-1.237978,-0.327,-1.69842,-135.494,  nan,46.2832,0.607763,0.751312,0.778775,52.1668
