lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   65.000000,  -167.000000,        -2.5498,         1.1362,        -2.2440,        -1.0000,        -2.5498,     2
   63.000000,  -163.000000,        -1.2063,         1.1362,        -1.0617,         0.0000,         0.0000,     2
   67.000000,  -161.000000,        -0.8308,         0.9481,        -0.8763,         0.0000,         0.0000,     3
   69.000000,  -161.000000,         0.0279,         1.1362,         0.0245,         0.0000,         0.0000,     2
   67.000000,  -157.000000,         0.0782,         0.6075,         0.1288,         0.0000,         0.0000,     6
   69.000000,  -157.000000,         0.4512,         0.7714,         0.5849,         0.0000,         0.0000,     3
   67.000000,  -155.000000,         1.9021,         0.4137,         4.5974,         1.0000,         1.9021,    12
   63.000000,  -153.000000,        -4.3210,         0.9211,        -4.6911,        -1.0000,        -4.3210,     1
   67.000000,  -153.000000,        -0.1963,         0.4979,        -0.3943,         0.0000,         0.0000,     8
   63.000000,  -151.000000,         0.6101,         0.7968,         0.7658,         0.0000,         0.0000,     3
   65.000000,  -151.000000,        -0.1817,         0.7689,        -0.2364,         0.0000,         0.0000,     3
   67.000000,  -151.000000,        -1.0005,         0.7688,        -1.3014,         0.0000,         0.0000,     3
   61.000000,  -149.000000,        -0.0587,         1.1362,        -0.0517,         0.0000,         0.0000,     2
   67.000000,  -149.000000,         0.6321,         0.8436,         0.7492,         0.0000,         0.0000,     3
   65.000000,  -147.000000,        -0.5162,         1.1362,        -0.4543,         0.0000,         0.0000,     2
   67.000000,  -147.000000,         2.9046,         0.7833,         3.7083,         1.0000,         2.9046,     3
   69.000000,  -147.000000,         0.4753,         0.8155,         0.5828,         0.0000,         0.0000,     3
   63.000000,  -145.000000,        -0.9168,         0.4975,        -1.8427,         0.0000,         0.0000,     8
   65.000000,  -145.000000,         1.6877,         0.7696,         2.1929,         1.0000,         1.6877,     3
   69.000000,  -145.000000,         4.1047,         0.8024,         5.1157,         1.0000,         4.1047,     3
   67.000000,  -143.000000,        -0.1843,         0.5543,        -0.3325,         0.0000,         0.0000,     6
   65.000000,  -139.000000,         1.1138,         0.7890,         1.4118,         0.0000,         0.0000,     3
   69.000000,  -139.000000,        -0.2188,         0.8006,        -0.2733,         0.0000,         0.0000,     3
   65.000000,  -135.000000,         0.0300,         1.1362,         0.0264,         0.0000,         0.0000,     2
   67.000000,  -133.000000,         0.7845,         0.7781,         1.0083,         0.0000,         0.0000,     3
   69.000000,  -133.000000,         0.6052,         0.5681,         1.0652,         0.0000,         0.0000,     8
   53.000000,  -131.000000,         0.0000,         0.6837,         0.0000,         0.0000,         0.0000,     1
   61.000000,  -131.000000,        -2.6878,         1.1362,        -2.3655,        -1.0000,        -2.6878,     2
   61.000000,  -129.000000,        -5.5501,         1.1362,        -4.8846,        -1.0000,        -5.5501,     2
   63.000000,  -129.000000,         3.3567,         0.8161,         4.1130,         1.0000,         3.3567,     3
   65.000000,  -129.000000,         0.3203,         1.1362,         0.2819,         0.0000,         0.0000,     2
   51.000000,  -127.000000,        -3.3540,         0.7582,        -4.4236,        -1.0000,        -3.3540,     1
   65.000000,  -127.000000,         0.1206,         0.5096,         0.2367,         0.0000,         0.0000,     9
   43.000000,  -123.000000,         0.3110,         0.4547,         0.6840,         0.0000,         0.0000,     1
   45.000000,  -123.000000,        -0.3760,         0.3052,        -1.2318,         0.0000,         0.0000,     2
   47.000000,  -123.000000,        -3.7260,         0.5934,        -6.2791,        -1.0000,        -3.7260,     1
   49.000000,  -123.000000,        -0.9030,         0.4192,        -2.1543,        -1.0000,        -0.9030,     2
   59.000000,  -123.000000,        -5.8900,         0.9022,        -6.5285,        -1.0000,        -5.8900,     1
   63.000000,  -123.000000,        -3.9460,         0.5549,        -7.1112,        -1.0000,        -3.9460,     1
   45.000000,  -121.000000,         4.5930,         0.5688,         8.0749,         1.0000,         4.5930,     1
   51.000000,  -121.000000,         2.1940,         0.3483,         6.2989,         1.0000,         2.1940,     3
   57.000000,  -121.000000,        -0.4060,         0.4933,        -0.8231,         0.0000,         0.0000,     2
   37.000000,  -119.000000,        -0.5432,         0.4645,        -1.1695,         0.0000,         0.0000,     4
   49.000000,  -119.000000,        -1.5890,         0.9377,        -1.6946,         0.0000,         0.0000,     1
   55.000000,  -119.000000,        -0.7510,         0.5824,        -1.2895,         0.0000,         0.0000,     1
   57.000000,  -119.000000,         0.6250,         0.5465,         1.1436,         0.0000,         0.0000,     1
   33.000000,  -117.000000,       -10.8830,         2.0278,        -5.3669,        -1.0000,       -10.8830,     1
   51.000000,  -117.000000,         1.7277,         0.5148,         3.3564,         1.0000,         1.7277,     4
