,lat,lon,anom,err
96,68.13,13.58,-5.797425594,2.1
406,32.3106,-109.0977,-5.178114314,2.1
23,32.75,81.67,-5.135,2.1
294,56.84,-101.04,-4.88675,2.1
99,43.67,28.55,-4.778999998,2.1
18,46.77,17.17,-4.339095239,2.1
248,46.52,32.62,-3.84386905,2.1
107,-2.225,156.998,-3.72179487,2.1
273,41.23,-0.17,-3.658620748,2.1
563,50.62,16.2,-3.146785717,2.1
372,62.3667,0.9667,-3.087777778,1.3
252,38.87,-107.03,-2.96375,2.1
90,54.42,-69.92,-2.76,2.1
477,49.48,19.82,-2.633507654,2.1
572,53.44,8.87,-2.58925,2.1
15,57.32,-3.9,-2.556428572,2.1
385,78.9157,6.7672,-2.458006263,1.9
416,50.14,11.88,-2.380292208,2.1
349,8.728,109.869,-2.316032092,1.7
360,-9.65,118.4,-2.30527,1.9
373,57.4478,-27.9078,-2.175873788,1.9
494,66.17,29.15,-2.101309524,2.1
72,43.13,-93.43,-1.809166667,2.1
4,67.05,-50.47,-1.7903,2.1
582,42.28,140.26,-1.75,2.1
537,-50,6,-1.726966667,1.5
434,20.8,-18.6,-1.70625,1.3
417,52.27,-58.05,-1.6452,2.1
479,62.0905,-17.8197,-1.63203,1.9
409,58.4,27.23,-1.599183675,2.1
140,-8.6765,112.8725,-1.518633509,2.1
51,55.33,-63.2,-1.487,2.1
112,61.1667,-100.9167,-1.475214286,2.1
335,6.4762,125.832,-1.461374672,2.1
91,54.42,-69.93,-1.455030303,2.1
490,40.08,-105.54,-1.4458,2.1
491,46.21,-95.28,-1.3525,2.1
132,75,14,-1.314666667,1.5
575,43.33,-95.2,-1.311708333,2.1
168,31.652,34.0667,-1.281765018,2.9
297,12.0897,-61.2437,-1.261110529,1.7
216,52.45,-56.43,-1.242166667,2.1
195,60.11,-6.07,-1.239772727,1.2
287,47.03,7.3,-1.198158729,2.1
489,42.73,-109.19,-1.180333333,2.1
88,42.14,-73.41,-1.1185,2.1
139,-8.6765,112.8725,-1.068500787,2.1
288,56.72,-119.72,-1.052333333,2.1
368,31.6388,128.9438,-1.050940118,2.9
162,27.714,34.6817,-1.016059722,1.7
438,41.6829,-124.932,-0.983327945,1.7
553,11.33,-66.63,-0.963325,1.9
420,10.7833,51.9333,-0.935022135,1.7
472,37.94,-111.7,-0.931333333,2.1
407,31.6387,-115.5548,-0.913837323,2.1
45,46.27,-94.55,-0.9084,2.1
66,37.65,-107.81,-0.865928571,2.1
574,47.03,11.83,-0.826230159,2.1
551,2.7125,36.537,-0.816166667,2.1
464,-29.0011,19.135,-0.814257005,2.1
402,43.6488,-112.7451,-0.809355154,2.1
1,36.2054,-4.3127,-0.791529545,1.5
393,41.7,23.03,-0.769642854,2.1
146,-7.1383,39.8408,-0.765866667,1.9
309,44.5275,145.004,-0.757064971,1.7
285,58.13,-6.88,-0.750392857,2.1
320,34.3862,-120.0365,-0.744013865,2.1
357,20.117,117.384,-0.716304814,1.7
554,11.33,-66.63,-0.701129888,2.1
166,-5.5883,11.2217,-0.695682599,1.7
344,66.9697,7.6393,-0.692623632,2.1
110,59.5554,-144.1535,-0.665463876,2.1
534,53.67,8.73,-0.640079365,1.5
149,-2.8147,144.4997,-0.635758553,2.1
109,59.5554,-144.1535,-0.625143347,2.1
42,37.47,-108.16,-0.623846667,2.1
397,43.1,-89.42,-0.612583333,2.1
510,34.953,128.881,-0.61086496,1.7
524,54.78,-6.26,-0.60406746,2.1
214,50.1167,6.8833,-0.599443772,2.1
64,55.67,-63.25,-0.597,2.1
468,48.6,-124.2,-0.577333333,2.1
367,31.6388,128.9438,-0.575929746,1.7
476,-36.78,174.77,-0.57,2.1
210,47.32,-53.13,-0.567,2.1
376,35.8855,-7.5278,-0.562713496,2.1
122,72.16,-155.51,-0.559,1.2
154,-4.6133,-36.6367,-0.557837492,2.1
439,-11.921,13.4,-0.556750367,1.7
369,58.2107,-48.373,-0.55345,1.2
452,31.4583,128.4133,-0.547337741,2.1
298,12.0897,-61.2437,-0.521001248,2.1
237,24.3267,-83.2524,-0.5197,1.9
475,43.15,-3.43,-0.511392858,2.1
444,53.79,17.6,-0.501467532,2.1
138,-7.3092,105.0587,-0.49146,1.5
492,58.22,-71.95,-0.49,2.1
205,43.24,-80.41,-0.485257143,2.1
422,31.1,99.75,-0.466131643,2.1
277,45.47,5.42,-0.46143991,2.1
455,10.7,-65.9417,-0.441127713,2.1
329,-36.73,136.55,-0.435812788,2.1
33,55.01,-73.52,-0.41975,2.1
89,43.23,-80.37,-0.4183,2.1
128,20.1167,117.3833,-0.416275603,1.7
267,56.67,-64.68,-0.408857143,2.1
193,81.6214,-63.2578,-0.405501731,2.1
83,61.6089,-20.7027,-0.400535714,1.2
129,20.1167,117.3833,-0.398409628,2.1
365,6.3,125.82,-0.389851351,2.1
334,6.4762,125.832,-0.38176015,1.7
303,-15.1035,-75.688,-0.380513131,1.7
361,-5.0031,133.4447,-0.362142402,2.1
173,-18.565,37.38,-0.357125974,2.1
155,-4.6133,-36.6367,-0.345858143,2.1
401,36.0589,-108.0819,-0.333707865,2.1
27,57.12,-76.38,-0.310757143,2.1
55,61.4639,-58.0365,-0.309857143,1.2
454,10.7,-65.9417,-0.303783333,1.9
426,42.65,-73.05,-0.301333333,2.1
265,56.78,-64.83,-0.293,2.1
61,-33.3926,22.214,-0.261833333,2.1
446,11.955,44.3,-0.25941694,1.7
189,55.03,-62.63,-0.243690476,2.1
304,-11.0835,-78.0152,-0.228622672,1.7
212,44.52,-76.6,-0.226479798,2.1
81,44.1,-78.1,-0.21855,2.1
58,46.5507,8.7139,-0.218,2.1
170,20.2133,-18.4517,-0.208868139,2.9
119,55.11,-75.25,-0.2064,2.1
396,50.1,6.75,-0.203889412,2.1
254,-74.083,97.4833,-0.156755653,2.1
296,-17.4205,-71.769,-0.156109666,1.7
95,-77.3167,39.67,-0.154090909,2.1
187,45.18,-77.35,-0.144956061,2.1
153,-4.6133,-36.6367,-0.142081586,2.1
77,38.87,-107.08,-0.141533333,2.1
356,20.117,117.384,-0.138023506,2.9
97,41.93,-70,-0.13125,2.1
410,46.28,7.84,-0.129489795,2.1
323,-34.71,17.338,-0.127992982,2.1
428,45.22,-79.45,-0.124652778,2.1
515,46.93,-70.93,-0.1235,2.1
505,14.321,57.347,-0.119937469,1.7
295,-17.41,-71.7403,-0.115950743,1.7
178,47.47,12.36,-0.106607142,2.1
458,43.677,-2.228,-0.106493506,1.3
413,43.77,-69.3,-0.106083333,2.1
101,56.02,-74.95,-0.105925,2.1
100,56.28,-75.1,-0.104,2.1
548,45.99,-73.3,-0.101,2.1
163,27.714,34.6817,-0.097683133,2.1
34,38.4,13.6,-0.094389429,1.5
380,7.8558,-83.6083,-0.092674921,2.1
28,-7.3667,115.25,-0.089700393,2.1
120,56.1,-75.28,-0.0895,2.1
194,72.6947,-157.52,-0.08697619,1.2
134,74.9981,13.9685,-0.072274072,2.1
255,57.92,-75.62,-0.071285714,2.1
209,49.68,-1.28,-0.068750001,2.1
399,37.9049,-110.1304,-0.065976497,2.1
227,-54.3199,-69.4632,-0.064321429,1.7
94,75.35,-82.5,-0.046666667,2.1
359,-5.21,117.48,-0.046538647,2.1
73,41.64,-86.54,-0.043333333,2.1
226,68.1,-29.35,-0.0416,1.2
453,71.7363,42.6052,-0.039914286,1.2
526,66.62,13.68,-0.018222576,2.1
343,66.9697,7.6393,-0.013664396,2.1
280,59.22,27.58,-0.012925171,2.1
501,-0.79,99.9085,-0.008537662,1.9
315,6.6353,113.409,-0.000589433,2.1
281,59.2,-135.4,0,2.1
502,-0.79,99.9085,0.011441398,2.1
499,3.5167,96.3167,0.046133333,1.9
386,78.9157,6.7672,0.048465319,2.1
30,-7.4,115.2,0.050754377,2.1
532,41.39,-74.2,0.052056278,2.1
115,34.41,-95.81,0.055431667,2.1
330,39.0367,-10.6605,0.062982619,1.7
142,-9.0099,120.0153,0.065735457,2.1
106,-75.1019,123.3953,0.081796061,2.1
469,45.04,-93.63,0.085694444,2.1
292,52.95,-131.76,0.088,2.1
411,-37.92,175.37,0.088868182,2.1
275,-66.7697,112.8069,0.095,2.1
457,10.7,-65.9417,0.10444337,2.1
46,52.78,17.73,0.109295163,2.1
257,58.58,-75.25,0.11325,2.1
236,56.2333,-27.65,0.133797415,2.1
566,-78.5,108,0.13456121,2.1
480,62.0905,-17.8197,0.137549386,2.1
10,-40.9333,172.5333,0.142709538,2.1
547,32.9,-4.65,0.16,2.1
185,44.98,-69.32,0.16425,2.1
471,44.03,-70.35,0.169066667,2.1
573,46.82,7.74,0.182857144,2.1
478,64.12,-110.57,0.1865,2.1
199,54.6165,-56.1767,0.194657548,2.1
584,49.75,25.45,0.2,2.1
441,-64.8619,-64.208,0.210747588,2.9
299,12.0897,-61.2437,0.215875,1.5
381,68.27,-133.47,0.222,2.1
269,41.42,-84.75,0.235291667,2.1
165,-5.6,11.2,0.240833333,2.9
408,47.49,7.02,0.244724747,2.1
301,36.38,-7.0717,0.253023932,2.1
9,33.96,-119.98,0.2595,2.1
152,-4.6133,-36.6367,0.26375,1.9
49,46.26,7.84,0.266499999,2.1
176,-3.6298,119.36,0.268425,1.5
503,1.155,98.066,0.272620894,2.1
174,-19.2018,37.0415,0.2741375,1.9
283,44.17,-123.58,0.27825,2.1
516,45.96,-73.87,0.284,2.1
445,63.7622,5.2553,0.287099441,1.5
414,46.86,-98.16,0.294363636,2.1
311,-13.0825,121.788,0.2961625,1.9
450,73.683,-162.66,0.29624,1.2
346,36.1433,-2.6212,0.298541559,2.1
71,-45.72,170.12,0.30693,2.1
486,43.4,-88.1,0.308275,2.1
44,42.5,-73.32,0.3084,2.1
13,-46.42,169.28,0.31855,2.1
514,46.68,7.98,0.325113636,2.1
243,31.63,128.95,0.337594949,1.9
12,55.83,13.42,0.344928571,2.1
392,-11.2939,34.4372,0.350833333,2.1
56,49.68,-74.58,0.356571429,2.1
169,20.2133,-18.4517,0.363826866,1.7
366,6.3,125.82,0.374673907,1.9
433,61.4253,-24.0824,0.37914637,2.1
