latitude,CESM2,IPSLCM6A,COSMOS,EC-Earth3.3,CESM1.2,IPSLCM5A,MIROC4m,IPSLCM5A2,HadCM3,GISS2.1G,CCSM4,CCSM4-Utr,CCSM4-UoT,NorESM-L,MRI2.3,NorESM1-F
-89.5,7.06,3.57,7.35,4.27,1.11,-0.51,0.85,-0.5,2.57,4.41,3.68,7.83,2.71,5.07,6.3,2.56
-88.5,6.52,2.41,7.22,4.27,2.61,-0.44,1.59,-0.44,2.57,4.19,3.11,7.19,1.84,4.92,6.27,2.52
-87.5,6.04,1.18,7.1,4.06,3.43,-0.22,2.34,-0.2,2.57,3.96,2.38,6.78,1.35,4.76,6.24,2.49
-86.5,5.72,2.32,6.97,4.31,3.92,0.11,3.09,0.14,2.79,3.93,2.03,6.51,1.45,4.61,6.22,2.47
-85.5,6.44,3.82,6.84,5.72,4.56,1.22,3.83,1.21,3,4.1,2.37,6.75,2.93,4.45,6.19,2.46
-84.5,7.06,5.13,6.71,7.64,5.16,2.67,4.53,2.59,3.75,4.79,2.97,7.2,4.24,4.3,6.22,2.48
-83.5,8.48,5.91,6.58,8.92,7.26,3.41,5.21,3.24,5.04,6,3.87,7.81,3.92,4.14,6.27,2.53
-82.5,9.66,6.11,7.15,10.35,8.73,3.99,5.88,3.73,6.33,7.14,4.63,8.46,3.97,4.89,6.32,2.6
-81.5,10.29,6.99,7.74,11.69,8.73,4.5,6.47,4.21,7.44,8.24,4.7,8.77,5.95,5.66,6.52,2.66
-80.5,11.42,7.75,8.33,12.65,9.49,5,7.03,4.68,8.54,9.07,5.57,9.07,6.99,6.43,6.74,2.72
-79.5,11.78,8.3,8.93,12.91,9.15,5.28,7.59,4.96,9.14,9.61,5.89,10.43,6.93,7.23,6.96,2.78
-78.5,11.77,8.7,9.58,12.41,8.79,5.55,7.97,5.22,9.25,9.85,5.98,11.66,6.74,8.08,6.86,2.84
-77.5,11.88,8.97,10.24,11.57,8.62,5.76,8.35,5.44,9.36,9.79,6.09,12.08,7.14,8.93,6.75,2.94
-76.5,12.24,9.1,10.89,10.97,8.75,5.94,8.65,5.65,9.52,9.82,6.27,12.59,7.72,9.79,6.63,3.04
-75.5,12.58,9.35,10.93,10.86,9.17,6.05,8.68,5.87,9.69,9.96,6.55,13.35,8.3,10.22,6.48,3.13
-74.5,12.97,9.84,10.52,10.87,9.88,6.19,8.7,6.1,9.72,10.09,6.94,14.12,8.82,10.34,6.33,3.21
-73.5,13.65,10.62,10.09,11.05,10.89,6.36,8.63,6.33,9.58,10.21,7.48,14.87,9.65,10.46,6.19,3.3
-72.5,14.33,11.11,9.67,11.21,12.03,6.43,8.43,6.41,9.46,10.16,8.04,15.52,10.35,10.58,6.05,3.38
-71.5,14.4,11.06,8.98,10.85,12.55,6.37,8.25,6.3,8.88,9.91,8.06,16.03,10.74,10.38,5.9,3.44
